,user_id,song_id,listen_count,title,release,artist_name,year,song
3284,eb1ad31d040406c6428c5f4420b0bc709b1c5350,SODNMGV12AB0188599,1,She Said_ She Said,The Big Come Up,The Black Keys,2002,She Said_ She Said - The Black Keys
439,5a905f000fc1ff3df7ca807d57edb608863db05d,SOFPZCI12A58A7CF79,2,Brothers & Sisters,Trouble (B-Side),Coldplay,1999,Brothers & Sisters - Coldplay
2311,daebcdcf97caaf54a327b8ff52eca9f320599a10,SOJEBJO12A6701C322,1,Cry,80s Triple Set,Godley & Creme,1985,Cry - Godley & Creme
3291,eb1ad31d040406c6428c5f4420b0bc709b1c5350,SOGDGMX12AB01887E7,1,Just A Little Heat,Magic Potion,The Black Keys,2006,Just A Little Heat - The Black Keys
1760,b41ead730ac14f6b6717b9cf8859d5579f3f8d4d,SOYHOEL12A8C136605,1,Heal Over,Eye To The Telescope,KT Tunstall,2004,Heal Over - KT Tunstall
8868,a56bf59af6edc5ae6c92d61ddd214989332864e8,SOKPVYT12AB018E5E6,6,Valencia's Dying Dream,Rocinate,Ester Drang,2006,Valencia's Dying Dream - Ester Drang
9699,b12c786deef0e618b5f277bc337f67128f425efe,SOGLBQA12A6701E7AF,2,Too Much Love,LCD Soundsystem,LCD Soundsystem,2005,Too Much Love - LCD Soundsystem
7187,7c593e9db9a77a2dc8d3d975bb837422d1b0242a,SOOYOJU12A670201D3,1,Area Codes,Word Of Mouf,Ludacris / Nate Dogg,2001,Area Codes - Ludacris / Nate Dogg
1129,2c42e6551311710ca5a839d62058820a42ead493,SOUGBIM12A6D4F8247,1,The Four Horsemen,Kill 'Em All,Metallica,1983,The Four Horsemen - Metallica
697,5a905f000fc1ff3df7ca807d57edb608863db05d,SOWEBRA12A6701F115,3,Human After All,Human After All (Medley),Daft Punk,2005,Human After All - Daft Punk
8745,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOMLNZN12A8C14032D,1,We'll Be A Dream (featuring Demi Lovato),Smile Kid,We The Kings featuring Demi Lovato,2009,We'll Be A Dream (featuring Demi Lovato) - We The Kings featuring Demi Lovato
9702,b12c786deef0e618b5f277bc337f67128f425efe,SOIHUUT12AF72A2188,5,With Or Without You,U218 Singles,U2,1987,With Or Without You - U2
3610,5d5e0142e54c3bb7b69f548c2ee55066c90700eb,SOALPQQ12A6701F302,2,Put Your Head On My Shoulder (Album Version),Michael Bublé,Michael Bublé,2003,Put Your Head On My Shoulder (Album Version) - Michael Bublé
554,5a905f000fc1ff3df7ca807d57edb608863db05d,SONEYYW12AF72A2AA6,3,Glue Of The World,Pause,Four Tet,2001,Glue Of The World - Four Tet
7987,dde4fa01de271d51a4a5617ae79820cee7d26d96,SOWYFFH12AAF3B4C65,1,Breathe,Fearless,Taylor Swift / Colbie Caillat,2008,Breathe - Taylor Swift / Colbie Caillat
5342,2418d6837aada8911991cc748bc70a9a479f0cb4,SOOFYTN12A6D4F9B35,3,Représente,Fat Come Back,Alliance Ethnik,1999,Représente - Alliance Ethnik
818,baf47ed8da24d607e50d8684cde78b923538640f,SOJBZVF12AC3DF5728,1,Freak Train,Childish Prodigy,Kurt Vile,2009,Freak Train - Kurt Vile
9947,1df33b965ac9afb508f1d36be3df999c2f0e5138,SONDKOF12A6D4F7D70,1,Recado Falado (Metrô Da Saudade),2 Em 1,Alceu Valença,0,Recado Falado (Metrô Da Saudade) - Alceu Valença
2333,8cbb5066924ec788e3fea9a4aae59586f46f38fa,SOGIDSA12A8C142829,1,Camaro,Because Of The Times,Kings Of Leon,2007,Camaro - Kings Of Leon
5977,adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SOLRKWE12AF72A7251,1,Backdrifts,Hail To The Thief,Radiohead,2003,Backdrifts - Radiohead
1906,b6b799f34a204bd928ea014c243ddad6d0be4f8f,SOHEMBB12A6701E907,3,Superman,The Eminem Show,Eminem / Dina Rae,2003,Superman - Eminem / Dina Rae
6254,be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOSVDRD12A67ADAEF1,1,Don't Cha,PCD,The Pussycat Dolls / Busta Rhymes,2005,Don't Cha - The Pussycat Dolls / Busta Rhymes
6585,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOPWKOX12A8C139D43,1,Genius,Youth & Young Manhood,Kings Of Leon,2003,Genius - Kings Of Leon
4512,18dc95f354220b343e98ebbb7c8564291284ed9f,SOUOEMP12A8C13866E,2,Paper Planes,Decent Work For Decent Pay,M.I.A.,0,Paper Planes - M.I.A.
1457,ee03697dfdf668a9cd19a44a6f257b9d6a1dc60a,SOLYVPG12AB0185318,2,Sympathy,One Beat,Sleater-kinney,2002,Sympathy - Sleater-kinney
3631,5d5e0142e54c3bb7b69f548c2ee55066c90700eb,SOOXREU12A8C132CEA,1,I'm Real,J.Lo,Jennifer Lopez featuring Ja Rule,2001,I'm Real - Jennifer Lopez featuring Ja Rule
8580,f6f0022738877d8b6627093f094b71fac8dae523,SOSIRGW12A8C138527,9,Here I Am,Massive R&B Spring 2009,Rick Ross / Nelly / Avery Storm,0,Here I Am - Rick Ross / Nelly / Avery Storm
6944,5ab56ead71b71022f7043fef70a178b7035629b6,SOWCKVR12A8C142411,1,Use Somebody,Use Somebody,Kings Of Leon,2008,Use Somebody - Kings Of Leon
9710,b12c786deef0e618b5f277bc337f67128f425efe,SOJKAWG12A81C21781,1,The Battery,Oi Oi oi,Boys Noize,2007,The Battery - Boys Noize
4750,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOSEGVO12A6D228332,2,How,Gold,The Cranberries,1993,How - The Cranberries
2635,7e2b716907a9a295d92c2f35d7e260aeee2b32cf,SOWSADH12A6D4F3C8F,1,Cowboys,Portishead,Portishead,1997,Cowboys - Portishead
9887,c5d42aa00afa6889de703c49f40ecb26b1c401c4,SOEVXFV12A8C131196,1,More Than Meets The Eye,Out Of This World,Europe,1988,More Than Meets The Eye - Europe
2783,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOUFWFG12AC9072C7E,2,If Looks Could Kill,Let's Get Out Of This Country,Camera Obscura,0,If Looks Could Kill - Camera Obscura
4936,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOFXJCS12A58A7DF02,1,Daddy's Eyes,Sawdust,The Killers,2006,Daddy's Eyes - The Killers
8573,ea824b9b2e5c9fd5916b1936f57ecb15899c9281,SORFVMQ12AB0184135,1,Cousins,Contra,Vampire Weekend,2009,Cousins - Vampire Weekend
2456,9fba771d9731561eba47216f6fbfc0023d88641b,SOBXHDL12A81C204C0,19,Stronger,Graduation,Kanye West,2007,Stronger - Kanye West
8559,6f8453b0d9d2199f98c1992995a8445ad6837fd8,SOPVJNI12A81C219B9,1,All My Loving,Across The Universe,Jim Sturgess,2007,All My Loving - Jim Sturgess
7388,94d5bdc37683950e90c56c9b32721edb5d347600,SOXNUPR12A6701FFAA,1,Time Of My Life,8 Mile,Macy Gray,2002,Time Of My Life - Macy Gray
9069,cb8ed62245335312d58c97c1d5c68b4cac682afd,SOSYVNJ12AB01829E8,1,Teenage Crush,50 Rock 'N' Roll Worlwide Number Ones,Tommy Sands,1996,Teenage Crush - Tommy Sands
4499,18dc95f354220b343e98ebbb7c8564291284ed9f,SOTJLCA12A8AE474A7,1,Scream,HIStory - PAST_ PRESENT AND FUTURE - Book I,Michael Jackson,2008,Scream - Michael Jackson
2407,01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SOGHJWA12A6D4FC6D7,2,We Fight For Diamonds,In Ghost Colours,Cut Copy,2008,We Fight For Diamonds - Cut Copy
8433,51182330ee3e55d808df31a951032692c5cefe8a,SOSDYJH12AF72A179D,7,Laundry Room,I And Love And You,The Avett Brothers,2009,Laundry Room - The Avett Brothers
812,baf47ed8da24d607e50d8684cde78b923538640f,SOIRUXQ12A8C133060,10,Almost Lover (Album Version),Almost Lover,A Fine Frenzy,2008,Almost Lover (Album Version) - A Fine Frenzy
7916,9c4e14bbd043846b632d3737f08104dcaeb88142,SONYEOJ12A8C142E86,31,Breed,With The Lights Out - Box Set,Nirvana,0,Breed - Nirvana
1775,2aa3b8c9f60070025940183cdd44602086d7b535,SOJRNUM12A8AE47F2F,1,It's Christmas So We'll Stop,It's Christmas So We'll Stop,Frightened Rabbit,2007,It's Christmas So We'll Stop - Frightened Rabbit
2194,3f9ed694a79835c921ef6d94acd28f876c1d901e,SOKTHPP12A8AE47F2A,9,Are You Gonna Be My Girl (Album Version),Get Born,JET,2003,Are You Gonna Be My Girl (Album Version) - JET
3476,b44a7b18e5861d6b5c0094e43239191cbe5ff4e1,SOIQUSV12A8C13A402,1,Lies,Attack & Release,The Black Keys,2008,Lies - The Black Keys
206,17aa9f6dbdf753831da8f38c71b66b64373de613,SOCHAXM12AB01876F8,1,Bleeding Hearts,Hell Train,Soltero,0,Bleeding Hearts - Soltero
8267,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOBOGSC12A8C1440FC,2,The Girl And The Robot,Junior,Royksopp,2009,The Girl And The Robot - Royksopp
5361,37029a65b9925fb3c1964774fcab695b82955f76,SOMTLPL12A6702085A,5,Dirty Little Secret,Dirty Little Secret,The All-American Rejects,2005,Dirty Little Secret - The All-American Rejects
3615,5d5e0142e54c3bb7b69f548c2ee55066c90700eb,SODFUIQ12A58A79DDF,2,Moondance (Album Version),Michael Bublé,Michael Bublé,2003,Moondance (Album Version) - Michael Bublé
520,5a905f000fc1ff3df7ca807d57edb608863db05d,SOLJHUB12A58A78151,3,Let´s Buy Happiness,Oi Oi oi REMIXED,Boys Noize,2008,Let´s Buy Happiness - Boys Noize
9196,1b96dd04ce96aa7995e0f817e762ca44a24aab24,SOTPNMH12A6310F116,1,Caught Out There (Explicit),Caught Out There,Kelis,2000,Caught Out There (Explicit) - Kelis
7312,94d5bdc37683950e90c56c9b32721edb5d347600,SOFLDAP12A8A9D6B4A,2,Para No Verte Más,Para No Verte Más,La Mosca Tse-Tse,0,Para No Verte Más - La Mosca Tse-Tse
4152,a520488fcf049bbb5cd847cfa4f884c740692780,SOGNXEQ12A81C2302C,1,Destination Calabria,Ministry of Sound Presents The Singles Volume 2,Alex Gaudino Feat. Crystal Waters,2007,Destination Calabria - Alex Gaudino Feat. Crystal Waters
4617,2475b003df9c084c1488b2e63666e8cc87112180,SOXKGUD12A58A7C687,1,Why Does My Heart Feel So Bad? (2006 Digital Remaster),Go - The Very Best Of Moby,Moby,0,Why Does My Heart Feel So Bad? (2006 Digital Remaster) - Moby
5528,1b704d4cddabea8258bd93497fcb73eab32fa592,SOADISH12AB018DFAC,1,Talk Show Host,Blockbuster Movie Hits,Radiohead,1995,Talk Show Host - Radiohead
8706,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOFSRML12A670215B2,3,Ain't Talkin'  'Bout Love (Remastered Version),The Best Of Both Worlds,Van Halen,0,Ain't Talkin'  'Bout Love (Remastered Version) - Van Halen
2259,1a849df9dabb15845eb932d46d81e2fd77176786,SOUQNVW12AB0186DE3,3,Runnin' Around,Breakthrough,Colbie Caillat,2009,Runnin' Around - Colbie Caillat
240,17aa9f6dbdf753831da8f38c71b66b64373de613,SOHWXHK12A6701D7B9,1,Why Worry,The All American Rejects,The All-American Rejects,2003,Why Worry - The All-American Rejects
579,5a905f000fc1ff3df7ca807d57edb608863db05d,SOPEGMI12AF72AA77F,6,Hotdog,Attack Decay Sustain Release,Simian Mobile Disco,2007,Hotdog - Simian Mobile Disco
4548,c162cca4595e5b2fbeefed35ae0f247f648d7751,SOXNOYN12A6D4FB4B4,2,Evil,Antics,Interpol,0,Evil - Interpol
698,5a905f000fc1ff3df7ca807d57edb608863db05d,SOWEJXA12A6701C574,2,Fix You,X & Y,Coldplay,2005,Fix You - Coldplay
3153,344af62cf08ea5c4ea1eb554366d221c1431f4d3,SOVIUNE12A8AE4561D,1,Is It A Crime,The Best Of Sade,Sade,1985,Is It A Crime - Sade
5914,806ccae96c8ecb1c198482aff785ccd6bbe17143,SOMRYYN12A6310F0F3,1,In My Place,A Rush Of Blood To The Head,Coldplay,2001,In My Place - Coldplay
142,b64cdd1a0bd907e5e00b39e345194768e330d652,SOFNCRW12A6D4F727B,2,Fresh,Homework,Daft Punk,1996,Fresh - Daft Punk
8814,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOWEJXA12A6701C574,1,Fix You,X & Y,Coldplay,2005,Fix You - Coldplay
7649,3fc803c12264ab6599ee9e379c565be2bb3b0903,SOFPJGB12A8C143EA1,2,When You're Gone,When You're Gone,Avril Lavigne,2007,When You're Gone - Avril Lavigne
8107,4c96b97b22e0b53c270adc6165eaf64a2a48588b,SOZPQXP12A8C1301ED,1,Ce Jeu,Pop Up - De Luxe,Yelle,2007,Ce Jeu - Yelle
1856,77cac5c3389010b64d01b30f725c24de4a5bb626,SOSLQQJ12AB017BDCC,1,Sleepyhead,Manners,Passion Pit,2008,Sleepyhead - Passion Pit
7515,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOPQLBY12A6310E992,1,Creep (Explicit),Pablo Honey,Radiohead,1993,Creep (Explicit) - Radiohead
7171,53659e6ae51d163d5de5709c53707df87a669cfb,SOSEUUV12A6701E93C,13,No One Knows,I Am Angry,Queens Of The Stone Age,2002,No One Knows - Queens Of The Stone Age
2115,732f88be38fae217f8ab7e24c20dd072436e3e40,SOSNTSY12AF72A7B43,1,This Is Your Life,Day & Age,The Killers,2008,This Is Your Life - The Killers
4304,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOSRIHB12A8C13608B,1,Killing In The Name,Rage Against The Machine / Evil Empire (Coffret 2 CD),Rage Against The Machine,1991,Killing In The Name - Rage Against The Machine
4873,25fc0200450bbf726c8511fabe31ecfdb81732eb,SOHOCMM12AB01845E0,1,I'm Not Your Toy,La Roux,La Roux,2009,I'm Not Your Toy - La Roux
3101,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOSUWJE12AB0184567,1,My Love,Ray Guns Are Not Just The Future,the bird and the bee,2009,My Love - the bird and the bee
3132,344af62cf08ea5c4ea1eb554366d221c1431f4d3,SOGFFET12A58A7ECA9,1,Molly's Chambers,Holy Roller Novocaine EP,Kings Of Leon,2003,Molly's Chambers - Kings Of Leon
6640,6b7a5895d266599bc414b9eb8fbad59c95b9a99d,SOWGXOP12A6701E93A,1,Without Me,Without Me,Eminem,2002,Without Me - Eminem
4231,e4e99e5b3223bec258cf2ff0d090d05a06302344,SOQTHZW12A8C1400F8,2,Aghia Sophia (2008 Digital Remaster),Epica Etica Etnica Pathos (2008 Remastered Edition),CCCP - Fedeli Alla Linea,0,Aghia Sophia (2008 Digital Remaster) - CCCP - Fedeli Alla Linea
5716,9d100b4175fed9da71b76800b921c4a40d0208b5,SOURAVO12A6D4FB1A4,1,Becoming [Live Version],Official Live: 101 Proof,Pantera,1997,Becoming [Live Version] - Pantera
3287,eb1ad31d040406c6428c5f4420b0bc709b1c5350,SOENMEA12A8AE4881A,1,The New Chapter,Reformation,Kiuas,2006,The New Chapter - Kiuas
991,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOUKMKR12A8C141925,1,The Climb,Hannah Montana The Movie,Miley Cyrus,2009,The Climb - Miley Cyrus
8103,4c96b97b22e0b53c270adc6165eaf64a2a48588b,SOUHJLN12A8C13CE52,1,Hussel (Featuring Afrikan Boy),Kala,M.I.A.,0,Hussel (Featuring Afrikan Boy) - M.I.A.
216,17aa9f6dbdf753831da8f38c71b66b64373de613,SOELOOM12AB017DB4C,1,Gimme Sympathy,Gimme Sympathy,Metric,2009,Gimme Sympathy - Metric
6247,be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOOWPBJ12A8C137FB4,5,Lost!,Viva La Vida Or Death And All His Friends,Coldplay,2008,Lost! - Coldplay
3189,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SONJKWC12AF729FA1B,1,Mercy,Dreaming Out Loud,OneRepublic,2007,Mercy - OneRepublic
7051,d5618c6813c7a067646edcf9c7243ccb95919460,SOXYXHE12AB01892DE,1,Let Me Inside,Time Bomb,Iration,0,Let Me Inside - Iration
899,a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOLXYFV12A8AE45FE3,16,Don't Leave,Insomnia - The Best Of,Faithless,1996,Don't Leave - Faithless
8184,97cd6b9403a63af8b37839f959e1758a3923539f,SOYUCVV12AB018B35A,1,The Way I Feel (Not Our Master),12 Stones,12 Stones,2002,The Way I Feel (Not Our Master) - 12 Stones
5187,49af82075bf3a444487a70587298fd93fb8bbe1e,SOPEPDC12A6D4F7599,1,Kids In America,101 Running Songs,Kim Wilde,1981,Kids In America - Kim Wilde
3447,515c6d7023ad31411c1f6b11e0b2f56810348bee,SOLEEUJ12A6701C787,3,Rollin' (Air Raid Vehicle),The Collection,Limp Bizkit,2000,Rollin' (Air Raid Vehicle) - Limp Bizkit
252,17aa9f6dbdf753831da8f38c71b66b64373de613,SOJXYTP12A67ADD1B2,1,Poster Of A Girl,Live It Out,Metric,2005,Poster Of A Girl - Metric
7419,68f0359a2f1cedb0d15c98d88017281db79f9bc6,SOAYSTU12A67ADAF03,1,All Night,Welcome to Jamrock,Damian Marley / Stephen Marley,2004,All Night - Damian Marley / Stephen Marley
1839,77cac5c3389010b64d01b30f725c24de4a5bb626,SOGISVQ12A8C13AE9B,1,Big Big Love (Fig .2),Antidotes,Foals,2008,Big Big Love (Fig .2) - Foals
718,5a905f000fc1ff3df7ca807d57edb608863db05d,SOXZCIH12A8C1425F0,2,Keep Fallin,Coming On Strong,Hot Chip,2004,Keep Fallin - Hot Chip
4860,e8e8fda1705d4366eb47efd2ffc4f03af905d962,SOQMVMK12A67021D21,1,Say Yes,Floetic,Floetry,2002,Say Yes - Floetry
6289,e11a55c8eecae195a596ca208ce69d2eb550689f,SOPJKZZ12A67ADE98D,1,My Body Is A Cage,Neon Bible,Arcade Fire,2007,My Body Is A Cage - Arcade Fire
4779,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOWGIBZ12A8C136A2E,1,King Of The Rodeo,Aha Shake Heartbreak,Kings Of Leon,2004,King Of The Rodeo - Kings Of Leon
2355,3b3c1e29095a98ae07e2427522244f10daa69340,SOASBIM12A58A7B2DB,1,Don't Stop...Planet Rock (In The Pocket Mix) feat. Bambaataa_ Eric Kupper & Mohamed Moretta,Don't Stop...Planet Rock,Afrika Bambaataa & The Soul Sonic Force,0,Don't Stop...Planet Rock (In The Pocket Mix) feat. Bambaataa_ Eric Kupper & Mohamed Moretta - Afrika Bambaataa & The Soul Sonic Force
4921,e21477efb83bd323205ce6f5bd662f3df9d477e5,SODEYDM12A58A77072,4,Lights & Music,Lights & Music,Cut Copy,2008,Lights & Music - Cut Copy
8403,66da9a2bd5b588e150e08ff9510b59fe30a4abcd,SOTWYCQ12A8C137B43,2,I'm Already There,I'm Already There,Lonestar,2001,I'm Already There - Lonestar
8172,97cd6b9403a63af8b37839f959e1758a3923539f,SORVLRC12A8151E078,1,Proud Mary,Bad Moon Rising Hit Pac,Creedence Clearwater Revival,1969,Proud Mary - Creedence Clearwater Revival
2122,732f88be38fae217f8ab7e24c20dd072436e3e40,SOTODTI12A8C1402D3,5,I'm Sleeping In A Submarine,EP,Arcade Fire,2003,I'm Sleeping In A Submarine - Arcade Fire
911,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOBUBLL12A58A795A8,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007,They Might Follow You - Tiny Vipers
5476,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOVZGLW12A8AE4570B,3,No Sunlight (Album Version),No Sunlight,Death Cab for Cutie,2008,No Sunlight (Album Version) - Death Cab for Cutie
1617,523a8a39456d5a96ae8f4d5e8b8b60f3bfb31528,SOJHUGI12A8C138A66,1,Nothing's Gonna Stop Us Now,Platinum & Gold Collection,Starship,1985,Nothing's Gonna Stop Us Now - Starship
738,5a905f000fc1ff3df7ca807d57edb608863db05d,SOZMNAX12A58A77F88,3,Short Circuit,Discovery,Daft Punk,2001,Short Circuit - Daft Punk
2728,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOGIKER12AB018F743,1,Till Dans Med Karlstadtoserna,Tung Ener,Dragesekstetten,0,Till Dans Med Karlstadtoserna - Dragesekstetten
9931,4e7c9c148ab29ae7fa5cd31eb4302762f18399cd,SOHRVMG12A6701D226,1,Caravan Of Love,Total Hits Vol. 1,The Housemartins,1986,Caravan Of Love - The Housemartins
6355,c01f9838d66929bd2494eb8e627054024a13d5c4,SOLIIPO12AB01861F7,1,Costume Party,I Can Talk,Two Door Cinema Club,2010,Costume Party - Two Door Cinema Club
756,c737ec8c1b16ce8e39115f4432c9a7fc21ec47a1,SOTYAJM12A6D4FD0EE,1,Mountain Song ( LP Version ),Nothing's Shocking,Jane's Addiction,1988,Mountain Song ( LP Version ) - Jane's Addiction
7869,f00f83927e9e39cf1c1e318d5391a697523eef22,SOYLZZB12A67AD9791,1,To Have And To Have Not,Must I Paint You A Picture?: The Essential Billy Bragg,Billy Bragg,1983,To Have And To Have Not - Billy Bragg
4987,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOPEOGA12AB017B694,1,Human,Just Dance,The Killers,2008,Human - The Killers
7354,94d5bdc37683950e90c56c9b32721edb5d347600,SOPDFZN12A670215C4,1,Why Can't This Be Love (Remastered Version),The Best Of Both Worlds,Van Halen,0,Why Can't This Be Love (Remastered Version) - Van Halen
723,5a905f000fc1ff3df7ca807d57edb608863db05d,SOYIRPZ12A6D4FCAB0,16,Olsen Olsen,Agaetis Byrjun,Sigur Ros,1999,Olsen Olsen - Sigur Ros
7705,390c2e81bc9cf885608a0891c0a7eb13f1fd3336,SOBOAFP12A8C131F36,1,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0,Lucky (Album Version) - Jason Mraz & Colbie Caillat
5319,685480702e45a90a3b38b543941d8ebb422aeef3,SOEHWGF12A6D4F8B2B,1,Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,0,Hips Don't Lie (featuring Wyclef Jean) - Shakira Featuring Wyclef Jean
6162,e701a24d9b6c59f5ac37ab28462ca82470e27cfb,SOMLYJD12A58A7B155,8,I Wanna Be Sedated (Remastered Album Version ),Loud_ Fast_ Ramones:  Their Toughest Hits,Ramones,0,I Wanna Be Sedated (Remastered Album Version ) - Ramones
6397,7dd192c8bd4f27f573cb15e8656442aadd7a9c01,SOMTWFZ12AB0184E46,9,Spaceship,The College Dropout,Kanye West / GLC / Consequence,2003,Spaceship - Kanye West / GLC / Consequence
1843,77cac5c3389010b64d01b30f725c24de4a5bb626,SOJMUUU12A8C137A4F,4,Me & Mr Jones,Me & Mr Jones,Amy Winehouse,2006,Me & Mr Jones - Amy Winehouse
2278,a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOMDVSL12A6D4F7230,3,Heaven Must Be Missing An Angel,Capitol Gold: The Best Of Tavares,Tavares,1979,Heaven Must Be Missing An Angel - Tavares
3927,884209a41deb55df792f074bccf8af1c1c31768b,SOYLLGK12A81C217A1,1,Don´t Believe The Hype,Oi Oi oi,Boys Noize,2007,Don´t Believe The Hype - Boys Noize
9470,57e32b0cf88d1e3344dab420971ba46d08dd34bd,SOHTKJE12A58A7A42E,1,I'd Come For You (Album Version),Dark Horse,Nickelback,2008,I'd Come For You (Album Version) - Nickelback
7196,1a640060dad45f7cb120578b24533f36907ad1b2,SOCSUOL12AAA8C6707,10,The Rain,Konvicted,Akon,2006,The Rain - Akon
2491,9fba771d9731561eba47216f6fbfc0023d88641b,SOTKTQG12A6BD5294E,5,Glad All Over,B-Sides & Rarities,Terrorvision,2005,Glad All Over - Terrorvision
4528,18dc95f354220b343e98ebbb7c8564291284ed9f,SOYRVSP12A6D4F907A,3,Mama Said Knock You Out,All World,LL Cool J,1990,Mama Said Knock You Out - LL Cool J
8396,66da9a2bd5b588e150e08ff9510b59fe30a4abcd,SONPPTR12A6701DA32,1,Fairy Tale,Second Passport,Klaus Doldinger's Passport,0,Fairy Tale - Klaus Doldinger's Passport
7329,94d5bdc37683950e90c56c9b32721edb5d347600,SOJZDMW12A8151E092,2,Somebody (Remix),Mute Audio Documents: Volume 4: 1984,Depeche Mode,1984,Somebody (Remix) - Depeche Mode
4015,9b887e10a4711486085c4fae2d2599fc0d2c484d,SOIFPJU12A8C136FC6,1,Ol' Lady (Explicit Album Version),Definition Of Real,Plies,2008,Ol' Lady (Explicit Album Version) - Plies
731,5a905f000fc1ff3df7ca807d57edb608863db05d,SOYRHNG12A8C14002E,1,All The Kings Horns,Songs For Christmas,Sufjan Stevens,0,All The Kings Horns - Sufjan Stevens
2465,9fba771d9731561eba47216f6fbfc0023d88641b,SOEXXAJ12A8C13AD79,1,Fortunate Son,Singles Collection Vol. 2,Dropkick Murphys,2002,Fortunate Son - Dropkick Murphys
6171,cd7baa603618c40b9290bd05112061afefdde8ef,SOPGQBM12A6D4F6797,21,Nausea,Ultra Vivid Scene,Ultra Vivid Scene,1988,Nausea - Ultra Vivid Scene
8859,370190e231e1d4a9353d50038f59a0a33f7168f0,SOYXNXN12A8C131F3D,1,Live High (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz,0,Live High (Album Version) - Jason Mraz
4134,399793ee5842e6f5b0b7f04fa5ec402454e2fe34,SOAUWYT12A81C206F1,1,Undo,Vespertine Live,Björk,2001,Undo - Björk
3119,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOYOIMF12A8C135BF4,6,A.T.H.F. (Aqua Teen Hunger Force) (Album Version),The Mouse And The Mask,Danger Doom,2005,A.T.H.F. (Aqua Teen Hunger Force) (Album Version) - Danger Doom
3807,884209a41deb55df792f074bccf8af1c1c31768b,SOHTLBP12A8C1360DD,1,Needy Girl,Needy Girl,Chromeo,2003,Needy Girl - Chromeo
695,5a905f000fc1ff3df7ca807d57edb608863db05d,SOVUGCB12A8C131B45,4,Hello,1983,Flying Lotus,2006,Hello - Flying Lotus
5078,eda12b54342243175dba3db83f66eade127d2b4e,SOSVPIE12A6D4FA873,2,Shiver,Parachutes,Coldplay,2000,Shiver - Coldplay
7749,390c2e81bc9cf885608a0891c0a7eb13f1fd3336,SOPXKYD12A6D4FA876,1,Yellow,Yellow,Coldplay,2000,Yellow - Coldplay
1670,930d2be6c85315d72cab9823ec0f7bfe7e477794,SOLCKAS12A8C14242A,1,Eye Of The Tiger,Happy New Year!,Survivor,0,Eye Of The Tiger - Survivor
6710,e3937c7c32f5b68422808a854a4a7a824ee448a5,SONZTEN12A8C136B8C,1,2080,All Hour Cymbals,Yeasayer,2007,2080 - Yeasayer
7088,a699816c7f4f8855808eee732a5cbd1620091998,SOVYIYI12A8C138D88,1,He Doesn't Know Why,Fleet Foxes,Fleet Foxes,2008,He Doesn't Know Why - Fleet Foxes
9865,b4e93ce145d511946e444cbd22c090b78735c99f,SOQQQMM12A6310DFCC,1,(Nice Dream),The Bends (Collectors Edition),Radiohead,1995,(Nice Dream) - Radiohead
7469,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SODAIMX12A6D4F74D6,5,Everything,No Name Face,Lifehouse,2000,Everything - Lifehouse
1120,2c42e6551311710ca5a839d62058820a42ead493,SONTCHV12AF72A9F66,1,Black River,Amos Lee,Amos Lee,2005,Black River - Amos Lee
8465,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOAVGOD12A6D4F7783,6,Nut City (2000 Digital Remaster) (The Rudy Van Gelder Edition),The Complete George Braith Blue Note Sessions (The Rudy Van Gelder Edition),George Braith,0,Nut City (2000 Digital Remaster) (The Rudy Van Gelder Edition) - George Braith
